"filename","url","checksum_type","checksum","source_id","experiment_id","member_id","variable_id","table_id","grid_label"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_188001-188412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_188001-188412.nc","SHA256","624e1ff6869f6027a21a12a0c5c7d75ff9b057da3829916f5d9ab4c8245d2860","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_188501-188912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_188501-188912.nc","SHA256","c56c4140562562b7d47ee0239c48b7c0f66a5121e1d686ceb0a04896a12cf83f","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_189001-189412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_189001-189412.nc","SHA256","41a05d72a416a2738dde2b140085090134badb45cc706ea639fde91519416675","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_189501-189912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_189501-189912.nc","SHA256","7ae25afb7ff1c90863a6a29e1e6a5f3e968a62641f6add46a13eb98f1eb2fa7d","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_190001-190412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_190001-190412.nc","SHA256","d190334f7649df463398596b9d3c5a60b1facd98cbec667910c375e3791c66ae","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_190501-190912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_190501-190912.nc","SHA256","a2b8e57dce20be08bed95ff069696512ff5b34162c1ffee982df38c0153af823","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_191001-191412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_191001-191412.nc","SHA256","53253f45a393e920d0fb48bbd344396d4bc8d1469c54b95daec2accb465d508c","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_191501-191912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_191501-191912.nc","SHA256","4ff2026b7b871325826f386d79886d2156a509c03b3b75f3cce8d944bdbefc01","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_192001-192412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_192001-192412.nc","SHA256","d9a1798adc7edcf0b3eeb163b1418f1f81c36736c5908c409946f9fa205482c2","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_192501-192912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_192501-192912.nc","SHA256","97ae0d361f3e5dd5ae3ee401603f0407dccfe59e0745658ddc32475e17e711eb","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_193001-193412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_193001-193412.nc","SHA256","3af0cf5abce6a33e7985f7e3f02112c83b7a3c11b3494dbe34b4d15385b0be70","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_193501-193912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_193501-193912.nc","SHA256","4d260f3f71750292b30f2761cb90f072d8b7be8b5e822c8539870da603388f16","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_194001-194412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_194001-194412.nc","SHA256","d5c2d291252a88a33d05fc98d3ef33a1810b718c18284dca1ce4a09687349211","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_194501-194912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_194501-194912.nc","SHA256","e3bf30e0debb5ed868e213249c928a264ed9fabde09e26ce13dcb8533fdd5c53","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_195001-195412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_195001-195412.nc","SHA256","459cd4a3d16706c5f6e3c71784808cb01138e1f4aa5f4756cc480280c0066a66","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_195501-195912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_195501-195912.nc","SHA256","5088219e4f277c0bb673c89e860e6f1bd6ccc49054e133ebb57bcc1b781124be","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_196001-196412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_196001-196412.nc","SHA256","3785f1af14b643f2a5395d553de78fd2069123e22ae1fc43966d255c5fcfc377","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_196501-196912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_196501-196912.nc","SHA256","6a8d6f2151461a726e158913ad911373faaa09ffcd1f35415ec071baeb3f47d9","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_197001-197412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_197001-197412.nc","SHA256","cf04cd673becd5bead297a816bbc07b68d11e3f1d8eda2e11ad9d0264e005c37","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_197501-197912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_197501-197912.nc","SHA256","d8003b4b451d450b6091db0e0384f50d2d5f1fb6a516bea4d83875d4f9553c59","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_198001-198412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_198001-198412.nc","SHA256","ecb8468d8629c72e0f667c270081dd685a3669e02f236826e57cf791442ff871","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_198501-198912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_198501-198912.nc","SHA256","149625585055c82875b2610e5f6742d3d0fe4452a6437332c50e99a9a5f9bf7a","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_199001-199412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_199001-199412.nc","SHA256","576369ef4bdada69f79c71ee3f738b38204757fd8b51d6888697ea64aee84a06","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_199501-199912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_199501-199912.nc","SHA256","6c160722071873ac8e4da9af86834d78cf7f1e4682d8282fa0f323b8bfc1e693","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_200001-200412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_200001-200412.nc","SHA256","e92401d95c0b2b4644e779256718252d976f1d7a1011fdf7a299ff41df693e51","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_200501-200912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_200501-200912.nc","SHA256","f7311d9726f6ad131d069ebc813f9fa274a40917067f4786cf3a427718ea4129","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_201001-201412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_201001-201412.nc","SHA256","41895e307d717fb6ec6ef16be3f3286a59fa2ca32d643eb2c21d60a76a86e8c5","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_201501-201912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_201501-201912.nc","SHA256","878f30092e12137b8b00458170fe98c1b7d74058b0c4879ef4bc23d3149c3f93","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202001-202412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202001-202412.nc","SHA256","a46f88499ec45aa3532450974f7ce6f9fc0e5ed2f7f61a1651143da1f7afb5da","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202501-202912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202501-202912.nc","SHA256","411797170c6ea4904a3bf51d9cc73073aadd4a422197d7e4d3525da207db2538","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203001-203412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203001-203412.nc","SHA256","9de6125bd9fac746e0e0f010be56ddecaa036a3bf314322ddababf4ece4adf89","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203501-203912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203501-203912.nc","SHA256","a28b0eb0bf2f41e32813b5bbf78acd4466899395c2d011cfd84d822e1be73e9c","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204001-204412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204001-204412.nc","SHA256","3efbbbf6ba96bfe86e939cc5b6e78a4c1b2ada1f76f75873574bfb89384d7a68","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204501-204912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204501-204912.nc","SHA256","c60593068f0a90c48cd8725129e0b3a3c7e5e2e4758eb29b0c098779bf6bdebb","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_205001-205412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_205001-205412.nc","SHA256","000de171c2485874e68fcdb89410aa43fe574caeb42ab314f1d89f869429f6d9","MPI-ESM1-2-HR","ssp126","r1i1p1f1","siconc","SImon","gn"
